ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,34,18599,509,Employed,High School,10,30462,36,Divorced,1,Mortgage,239,0.34464376396203567,1,2,0.24464833217715132,0,Home,0,24,5,3769,406,45654,6593,1549.9166666666667,0.8595988664995012,8,39061,0.260962,0.2921511674502118,1280.0993051114401,0.9801167622634164,0,56.0
2018-01-02,40,17595,521,Employed,Bachelor,17,14027,60,Married,4,Rent,381,0.15047086407320256,2,0,0.07244932583752367,0,Home,0,30,6,2148,339,53472,8446,1466.25,0.8657271710587284,7,45026,0.258527,0.2741055137903841,431.76765961728796,0.5543172444107676,0,53.0
2018-01-03,38,63146,595,Employed,High School,15,9258,48,Married,1,Mortgage,526,0.3544872823844611,2,0,0.1189935150399377,0,Auto,0,34,4,2428,1287,34945,16997,5262.166666666667,0.9360686517914037,7,17948,0.206758,0.21631861633304256,289.8361071280862,0.15503805918881694,0,53.0
2018-01-04,49,69600,647,Self-Employed,Bachelor,27,52668,36,Widowed,4,Other,266,0.07109032775250264,3,0,0.11880347446814196,0,Home,0,16,19,6058,1356,24351,6590,5800.0,0.6970550796852084,11,17761,0.214168,0.20548119200273615,1972.0717928066877,0.38587444703563584,0,49.0
2018-01-05,43,15000,559,Employed,High School,21,34199,36,Married,5,Own,1037,0.294334610522674,2,0,0.2294842415120043,0,Home,0,16,28,3176,1531,701001,17149,1250.0,0.9140543795848775,2,683852,0.239699,0.24115636515936245,1343.8016172359905,1.9046412937887922,0,46.0
2018-01-06,49,42880,610,Employed,Associate,24,18050,48,Married,1,Rent,234,0.4449400308366425,3,1,0.26788106742208073,0,Debt Consolidation,0,20,24,583,1325,23666,11142,3573.3333333333335,0.8234563646856605,4,12524,0.20805,0.20188049683962087,551.0781267397792,0.21970469964732628,0,51.0
2018-01-07,55,28301,601,Employed,High School,35,38425,36,Widowed,0,Own,278,0.5821163814835729,4,1,0.40071611375257954,0,Debt Consolidation,0,21,4,2904,3292,53243,21270,2358.4166666666665,0.8614418136307928,5,31973,0.222925,0.26751,1563.5803769363008,0.780854546596785,0,59.0
2018-01-08,47,52707,598,Employed,High School,26,11837,60,Married,0,Mortgage,836,0.19493685462685542,6,0,0.187086144043857,1,Education,0,22,13,4997,729,339670,28197,4392.25,0.868900895752196,4,311473,0.217837,0.2068872525715311,318.1614498954724,0.2627722579305532,0,55.0
2018-01-09,64,58670,514,Employed,Associate,46,35322,36,Married,0,Own,231,0.4546344209026287,3,2,0.5572667353173688,0,Home,0,24,24,1391,227,14998,13504,4889.166666666667,0.7024400073632153,2,1494,0.263322,0.27324786298267,1448.1899183471312,0.34345115084652417,0,59.0
2018-01-10,33,54765,613,Employed,Bachelor,9,37597,72,Married,0,Own,240,0.1969763151018639,1,1,0.16170353782494923,0,Auto,0,22,27,8860,365,24627,6722,4563.75,0.9287759817726344,5,17905,0.24609699999999998,0.2486536492087564,1009.6531983176677,0.27382157180337835,0,46.0
