ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,37,70583,570,Employed,Doctorate,10,11910,36,Divorced,0,Rent,158,0.3172407478673526,1,0,0.46495057755236663,0,Home,0,19,18,939,9560,154286,14884,5881.916666666667,0.9226580137340014,6,139402,0.21191000000000002,0.20943591311911672,448.36518410377835,0.10308972711907032,1,41.6
2018-01-02,42,41790,642,Employed,Bachelor,15,29979,48,Married,5,Mortgage,224,0.37088627075392844,8,1,0.23519137526061537,0,Auto,1,22,2,3306,554,214316,6909,3482.5,0.9334936346248845,6,207407,0.20397900000000002,0.20346900482926253,917.8219240939676,0.3278742064878586,0,56.0
2018-01-03,45,71249,556,Employed,Associate,20,10261,84,Married,5,Own,705,0.1963202794294522,1,3,0.5139008033839091,0,Auto,0,30,19,7773,270,74376,54778,5937.416666666667,0.8031596503601258,6,19598,0.25726099999999996,0.28920271302320555,285.9797204579311,0.16690419017102237,0,57.0
2018-01-04,70,17311,581,Employed,High School,51,25296,60,Single,1,Own,728,0.4447707390695558,2,2,0.46591608023224484,0,Education,0,32,22,2717,949,255462,12051,1442.5833333333333,0.8647570598044707,4,243411,0.239796,0.22072674345024515,699.6936372976197,0.9896784499781317,0,55.0
2018-01-05,37,85675,494,Employed,High School,16,28694,48,Divorced,1,Other,451,0.02620793608478807,2,0,0.3692169844256533,1,Home,1,27,3,4299,2794,48414,3231,7139.583333333333,0.88940329227767,7,45183,0.276694,0.2666576485116111,978.2628767260596,0.200188555829737,0,73.0
2018-01-06,40,48497,601,Employed,High School,16,17829,72,Single,3,Rent,293,0.4723210698436646,7,0,0.0836716199683152,0,Home,0,20,29,5600,2200,73666,29532,4041.4166666666665,0.8288868270006432,4,44134,0.232329,0.19547271413052977,422.38908376871353,0.1770144339902378,1,39.2
2018-01-07,36,207783,551,Employed,Bachelor,15,26001,48,Single,1,Own,554,0.264033023711059,1,0,0.4213199559564503,0,Education,0,24,25,2515,1971,176378,18446,17315.25,0.6586282046487135,5,157932,0.245501,0.21660442548341952,814.4039186652311,0.07902882826786972,1,40.0
2018-01-08,38,23731,563,Employed,Associate,14,26100,36,Married,1,Mortgage,344,0.22037190401659046,5,2,0.2723168383057047,0,Home,0,25,14,1444,550,64184,15988,1977.5833333333333,0.6832033296460526,3,48196,0.2296,0.24405023243155471,1029.5360912313458,0.6945528251981017,0,54.0
2018-01-09,35,39751,522,Employed,High School,14,11431,96,Single,3,Rent,386,0.12029985706953324,2,2,0.3826865836441477,1,Auto,0,22,17,2649,1129,29414,15383,3312.5833333333335,0.8757027621431928,5,14031,0.285431,0.2701508373128117,291.76349625882943,0.20460270068944061,0,66.0
2018-01-10,45,54078,540,Employed,Associate,22,48098,36,Single,0,Rent,573,0.4552018160831887,4,1,0.3554169495258233,0,Debt Consolidation,1,24,6,619,807,20067,18505,4506.5,0.6958674547365715,2,1562,0.263098,0.2549189775760702,1924.9034297193125,0.5542890113656523,0,63.0
