ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,52,151895,582,Employed,Bachelor,31,8896,72,Married,0,Other,429,0.3502825172472291,1,2,0.28121625448355125,0,Home,1,30,2,2530,2821,46187,14358,12657.916666666666,0.838272765148808,3,31829,0.232896,0.2340812889013414,231.01753723511425,0.052142667282144714,1,48.0
2018-01-02,25,48787,600,Employed,Associate,1,55264,48,Divorced,0,Own,499,0.36617475178859554,4,0,0.2271734360317468,0,Education,0,32,10,4133,799,169545,9463,4065.5833333333335,0.540285673292699,6,160082,0.250264,0.2516661653634572,1837.534918460534,0.5747108660406749,0,46.0
2018-01-03,18,20945,572,Employed,Master,0,43928,84,Divorced,0,Rent,236,0.3637187890921387,4,2,0.19335430181467675,0,Debt Consolidation,0,17,17,4936,1022,7358,176496,1745.4166666666667,0.7366401125810458,6,8417,0.282928,0.24880495896788393,1108.535321747573,0.7703234118391442,0,52.0
2018-01-04,33,54283,644,Employed,Associate,10,23606,60,Divorced,2,Own,497,0.3062928539323241,1,1,0.20128852127279886,0,Home,0,32,21,1836,666,85180,14676,4523.583333333333,0.7369005633000355,4,70504,0.206606,0.20550908958159755,632.6726300849234,0.24972959418269222,0,47.0
2018-01-05,49,45446,621,Employed,Associate,25,63643,48,Married,1,Rent,368,0.2827194041518525,4,2,0.33729385448712257,0,Home,0,32,27,6035,934,335623,63347,3787.1666666666665,0.9298122686287801,7,272276,0.24814300000000003,0.2905201549884929,2256.572861089542,0.6930175226218921,0,46.0
2018-01-06,36,43764,585,Employed,Associate,15,20614,60,Married,5,Mortgage,286,0.5946425629037357,2,0,0.2207325367880055,0,Debt Consolidation,0,18,27,2965,1526,171705,43617,3647.0,0.7410687163365824,4,128088,0.233114,0.26140315596791447,618.9063744258156,0.24812349175371964,0,50.0
2018-01-07,56,53845,671,Self-Employed,Bachelor,31,58124,48,Married,1,Rent,449,0.20133632642367194,3,0,0.10331315772990343,0,Auto,0,20,1,9800,255,223869,15621,4487.083333333333,0.8405755711749975,5,208248,0.217624,0.2043513016989269,1782.2375300285782,0.4972578765037226,0,47.0
2018-01-08,48,44638,617,Employed,High School,25,17698,96,Married,2,Other,321,0.5700029400440952,1,2,0.3104858917596549,0,Auto,0,22,7,6625,1848,33749,194965,3719.8333333333335,0.7629641490023432,5,5189,0.24419800000000003,0.23359171483557353,408.7257453308868,0.19617162381761374,0,54.0
2018-01-09,24,171372,553,Employed,Doctorate,0,26895,72,Married,0,Mortgage,580,0.12046118889686848,1,2,0.244592357023412,1,Home,0,21,9,6387,2118,69047,12619,14281.0,0.8966229431564458,4,56428,0.265395,0.28120380011029017,776.8081831949427,0.09500792543904087,1,48.0
2018-01-10,42,23976,574,Employed,High School,17,24693,96,Married,3,Rent,157,0.09683833242479498,3,1,0.30421990781870134,0,Home,0,19,15,8833,881,50537,7367,1998.0,0.503074634185458,2,43170,0.272693,0.27670241008312463,641.2611649710417,0.399530112598119,0,55.0
