ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,51,51749,673,Employed,Master,30,20081,72,Married,0,Own,735,0.09394810922233818,0,1,0.1435498927753313,0,Home,0,26,7,2444,264,138701,5759,4312.416666666667,0.8638055178217288,6,132942,0.198581,0.20104021346957454,482.20827991703936,0.282256649577856,0,40.0
2018-01-02,43,113376,604,Employed,Bachelor,24,18780,36,Widowed,2,Other,346,0.3910922812133512,7,2,0.19302787253367712,0,Other,0,23,26,2218,1630,169381,36888,9448.0,0.885105855330882,6,132493,0.20178,0.18626237223810385,684.8563073052532,0.10910841525246118,1,33.6
2018-01-03,29,36742,584,Employed,Associate,6,15238,36,Married,0,Rent,186,0.4589565837022557,4,0,0.36654032581181334,0,Auto,1,18,26,7391,408,16288,74467,3061.8333333333335,0.8974427147385556,4,6265,0.208238,0.24988559999999999,605.7680337856318,0.25859279313667144,0,62.0
2018-01-04,44,52240,604,Employed,Bachelor,19,19488,36,Widowed,1,Mortgage,626,0.185223128616236,3,2,0.38591976682067863,0,Debt Consolidation,0,17,8,3667,2871,6538,5787,4353.333333333333,0.7647811216712125,5,1427,0.202488,0.20344254705675466,727.6667687422469,0.3109494874599342,0,51.0
2018-01-05,33,82543,518,Employed,Master,11,16680,24,Married,1,Mortgage,244,0.3961353859327516,2,0,0.19810864380484489,0,Auto,0,19,26,1817,1741,76739,10060,6878.583333333333,0.8815132936843361,5,66679,0.23268,0.19642528871003712,846.0319798513658,0.1584675109726614,1,37.6
2018-01-06,27,72559,586,Employed,Master,4,21883,120,Married,3,Mortgage,479,0.22563432502088465,5,1,0.08560427305556005,0,Other,0,22,18,12445,2274,62250,10738,6046.583333333333,0.7921841774699094,1,51512,0.283883,0.24950295058416425,497.05617643840594,0.1614227610256601,0,48.0
2018-01-07,38,69870,624,Employed,Associate,14,20239,36,Single,1,Mortgage,1169,0.37612283535206387,0,2,0.478771006446916,0,Auto,0,20,2,3062,976,77545,15816,5822.5,0.9688735946087896,4,61729,0.19323900000000002,0.20719430909582778,759.5932712450405,0.3312311328888004,0,55.0
2018-01-08,46,105952,530,Employed,Associate,23,14772,36,Married,0,Own,328,0.15477569973717759,8,0,0.43577909862498226,0,Education,0,28,2,974,2103,12334,17259,8829.333333333334,0.8030170615480972,7,8319,0.234772,0.1994132488721805,548.5389214237067,0.099275776361791,1,46.400000000000006
2018-01-09,50,42646,606,Employed,Bachelor,28,20994,72,Married,0,Mortgage,197,0.2983315011365281,6,1,0.21230133926417136,0,Home,0,23,10,4285,3564,125128,11261,3553.8333333333335,0.5960628503703456,3,113867,0.23299399999999998,0.22779791981285522,537.2588528710875,0.20661037927245343,0,46.0
2018-01-10,56,59636,620,Self-Employed,High School,34,18957,60,Married,1,Other,559,0.5981190405946529,1,1,0.09587012580097691,0,Home,0,22,21,2898,3297,441580,15788,4969.666666666667,0.9352027919581286,4,425792,0.213957,0.22427113865114576,528.1856596641162,0.21876430203181624,1,36.0
2018-01-11,44,69880,536,Employed,Master,20,16771,36,Married,4,Mortgage,552,0.19488374704008535,0,3,0.3589462999394947,0,Home,0,22,24,17201,684,90641,39920,5823.333333333333,0.8266691370192562,8,50721,0.233771,0.24603878529382683,663.303485508895,0.20869550409425788,1,40.800000000000004
2018-01-12,33,31232,607,Employed,Doctorate,11,48923,108,Married,1,Rent,537,0.12160282315599699,1,1,0.23611375244307498,0,Debt Consolidation,1,20,4,2235,319,36583,56901,2602.6666666666665,0.750753303302658,3,1452,0.290423,0.2973499276241976,1305.0743989333666,0.7077642413934555,0,58.0
2018-01-13,46,90458,534,Employed,Bachelor,24,30046,48,Single,1,Mortgage,370,0.4964539676775222,4,2,0.21352282514915896,1,Debt Consolidation,0,21,21,4526,1384,16484,48553,7538.166666666667,0.8552527946812535,10,4273,0.258046,0.2390775260952923,978.0231066287085,0.17882638660532515,0,64.0
2018-01-14,43,30798,670,Employed,Doctorate,21,19415,36,Divorced,3,Own,201,0.22279627872368013,1,1,0.024359288587041072,0,Auto,0,17,20,952,2157,70564,40115,2566.5,0.8107769575215712,5,30449,0.169415,0.16999209407328816,692.1900658259926,0.3480187281613063,0,45.0
2018-01-15,34,15839,509,Employed,Bachelor,9,14972,120,Widowed,0,Rent,440,0.46235035899121313,3,0,0.42829187000355307,0,Home,0,24,29,1410,1080,85518,18462,1319.9166666666667,0.6967175205754809,4,67056,0.315472,0.34181691994650315,441.65602197665703,0.6679633981766452,0,57.0
2018-01-16,51,44593,661,Employed,Master,26,44123,72,Single,3,Own,197,0.20484779087499805,1,1,0.07385117024754484,0,Other,0,21,17,5614,1733,436057,4617,3716.0833333333335,0.8597209544531272,3,431440,0.228623,0.2505419740832663,1190.0168708081826,0.3732469770972617,0,39.0
2018-01-17,55,27771,581,Employed,High School,36,23411,60,Divorced,1,Rent,300,0.10724726491175847,7,1,0.17024031103189072,0,Education,0,20,28,3234,52,108204,17428,2314.25,0.7982441931584805,3,90776,0.23791099999999998,0.22470352113668968,652.8626069449882,0.41173711005508834,0,49.0
2018-01-18,36,50046,571,Self-Employed,High School,14,20826,72,Single,2,Mortgage,355,0.1672219576577823,1,0,0.15177982837424306,0,Debt Consolidation,0,23,28,2498,2788,25155,61798,4170.5,0.8469778945281379,5,7513,0.25032600000000005,0.25977018258024287,573.5435410518443,0.22264561588582765,0,52.0
2018-01-19,38,22330,506,Employed,Master,17,31899,60,Single,1,Own,406,0.39298094048004734,1,0,0.24303768719859567,0,Auto,0,24,29,2729,283,1217819,49163,1860.8333333333333,0.8444880628247176,5,1168656,0.28389899999999996,0.26194895976024796,958.7550350724399,0.7334106771549163,1,36.800000000000004
2018-01-20,21,54269,585,Employed,Master,0,24523,36,Divorced,5,Own,291,0.06162239037453397,2,0,0.05102122546433474,0,Auto,1,25,22,11543,453,90600,23838,4522.416666666667,0.8443648406026827,5,66762,0.217023,0.18576678669513233,893.6755828945935,0.2619563101353465,0,53.0
2018-01-21,57,86030,559,Self-Employed,Doctorate,33,15879,60,Single,4,Mortgage,280,0.45675315589365734,3,3,0.5620567511901369,0,Debt Consolidation,0,29,4,17897,1570,123800,23698,7169.166666666667,0.8942002860333909,10,100102,0.241379,0.22021458238424838,438.7544571732397,0.10025634646145386,1,48.0
2018-01-22,26,61169,597,Employed,Bachelor,4,19363,36,Divorced,0,Mortgage,242,0.32827743322589553,5,2,0.05301252828153344,0,Other,0,24,4,2176,69,256205,61406,5097.416666666667,0.8037545112913814,10,194799,0.205863,0.1936305891725407,713.3298401085984,0.18741450867765014,1,39.2
2018-01-23,47,34126,620,Employed,Bachelor,21,5550,36,Married,0,Own,255,0.36352714118617196,7,1,0.46455779434512523,0,Other,0,14,25,19936,573,246588,168626,2843.8333333333335,0.9681449804580333,6,77962,0.18055000000000002,0.1684421668327321,197.4426091005841,0.15909603555081195,1,41.6
