ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,21,43601,547,Employed,Associate,0,47074,60,Married,3,Mortgage,133,0.17435571681546383,2,1,0.14413263470146298,0,Home,0,22,6,8684,2271,149591,26144,3633.4166666666665,0.8230934580598274,11,123447,0.278574,0.26979124275118493,1436.8327127062284,0.43205413987006586,0,48.0
2018-01-02,40,22897,551,Employed,High School,17,24837,36,Divorced,2,Mortgage,990,0.24964631106677673,5,1,0.31837136520067744,1,Home,1,14,11,12584,1456,37710,16636,1908.0833333333333,0.8719117711692452,3,21074,0.234337,0.21811759825063956,946.1193089303297,1.0146932658061736,0,74.0
2018-01-03,42,27375,464,Self-Employed,Master,18,35055,96,Married,0,Mortgage,1395,0.19602603994174225,5,0,0.4345721086702538,0,Other,0,31,23,1524,380,120038,58404,2281.25,0.7289878546217755,7,61634,0.33805500000000005,0.3550018599408169,1104.2800311951503,1.0955748081951344,0,58.0
2018-01-04,31,50619,596,Employed,Associate,6,45263,48,Married,0,Mortgage,550,0.2209018924035727,3,1,0.4289629356891611,0,Home,1,22,27,4943,561,166947,19521,4218.25,0.943239710165221,2,147426,0.242263,0.19381040000000002,1362.4869101469403,0.45338396494919464,0,58.0
2018-01-05,22,29510,518,Self-Employed,Doctorate,3,13482,108,Divorced,4,Rent,770,0.07706890048652155,2,1,0.12329162324737884,0,Home,0,17,8,2273,465,150827,114930,2459.1666666666665,0.9730093518353942,7,35897,0.299482,0.2844420525076784,347.22741823961337,0.45431138661048326,0,55.0
2018-01-06,39,47332,606,Employed,Bachelor,20,38411,72,Married,2,Own,704,0.25156747513951544,3,1,0.08053068568326348,0,Auto,0,17,3,497,3085,97858,14519,3944.3333333333335,0.8156404171105708,4,83339,0.250411,0.22419002629168697,974.6959067934413,0.42559686642274347,0,49.0
2018-01-07,30,152664,609,Employed,High School,8,14012,60,Widowed,0,Mortgage,358,0.2920132516242529,2,0,0.6484350908706447,0,Debt Consolidation,0,22,1,2193,171,32292,37207,12722.0,0.824508545744884,4,6621,0.21451199999999998,0.1875885509809559,361.62231991182455,0.05656518785661253,1,45.6
2018-01-08,55,24464,590,Employed,Bachelor,32,34000,48,Married,3,Own,379,0.539592004240531,2,1,0.23631853454835564,0,Debt Consolidation,0,23,11,1570,2026,112121,24427,2038.6666666666667,0.972387987430622,8,87694,0.234,0.24988026322217308,1127.1153113597175,0.7387746785610124,0,53.0
2018-01-09,62,25875,613,Employed,Associate,41,22603,48,Married,1,Mortgage,417,0.4519639819281706,6,0,0.5242453251950435,0,Other,0,19,23,1596,495,166106,49114,2156.25,0.7443630762543164,2,116992,0.211103,0.22442345285170198,717.5709883707842,0.5261778496792042,0,54.0
2018-01-10,37,107012,508,Employed,Master,11,34785,84,Single,2,Mortgage,393,0.38809933944962777,6,2,0.027905281774799975,0,Debt Consolidation,0,25,23,7987,1222,250334,13252,8917.666666666666,0.7192558557340097,4,237082,0.30578500000000003,0.3137261115051486,1026.914656406116,0.15922490820537316,1,36.0
