ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,30,26700,634,Employed,Associate,8,7922,36,Married,1,Other,296,0.32017326386962763,4,1,0.2232972055340666,0,Home,1,25,14,947,1048,75478,22259,2225.0,0.7538264608779266,5,53219,0.17592200000000002,0.18948037255763914,290.18090437042105,0.2634520918518746,0,55.0
2018-01-02,45,135106,522,Employed,Master,26,23511,60,Single,0,Other,532,0.2899135858325009,5,1,0.00416978768962185,0,Home,0,34,16,1882,470,90240,75826,11258.833333333334,0.9697776976429113,6,14414,0.267511,0.29248720785462357,749.8471554755631,0.11385257402118897,1,38.400000000000006
2018-01-03,55,94344,531,Employed,Master,34,15984,36,Single,0,Mortgage,252,0.2622838083136584,3,1,0.10345053586382996,0,Home,1,26,21,5504,1184,128919,26162,7862.0,0.9472482699018486,4,102757,0.235484,0.1883872,584.6072650790553,0.10641150662414847,1,40.800000000000004
2018-01-04,48,47082,616,Employed,High School,25,28407,48,Married,2,Own,380,0.23588246015345335,3,2,0.32305793518393183,0,Home,0,30,27,11212,2445,174519,25297,3923.5,0.8279210104721665,6,149222,0.21540700000000004,0.2255915179562413,903.6386205457673,0.32716671863024527,0,48.0
2018-01-05,44,25282,590,Employed,Associate,22,24244,36,Married,2,Mortgage,782,0.18326431613584435,1,1,0.2269357142080246,0,Auto,0,32,27,1488,1315,5125,37262,2106.8333333333335,0.8271227345130052,6,5741,0.21424400000000002,0.20203635562633473,903.5113883797395,0.8000212269819188,0,53.0
2018-01-06,57,88280,625,Employed,High School,35,9329,12,Married,1,Own,979,0.22701448044098507,4,0,0.06336544332351775,0,Home,0,18,18,2198,224,68401,29364,7356.666666666667,0.7203651968885239,7,39037,0.16182900000000003,0.1427399625331405,838.8271918084155,0.2470993011067171,1,36.800000000000004
2018-01-07,45,90674,547,Employed,Bachelor,21,13664,72,Divorced,2,Rent,170,0.08987465413551991,3,0,0.20342885561757287,0,Other,0,18,28,3035,650,47508,12171,7556.166666666667,0.9100662869109717,3,35337,0.255164,0.26381220911028674,379.7345827626131,0.07275310445277983,1,40.0
2018-01-08,38,15000,573,Employed,High School,17,45615,96,Married,1,Rent,336,0.2883951779207804,5,1,0.3409790754520605,0,Education,0,19,5,44511,1358,147702,32557,1250.0,0.6845910103161996,7,115145,0.294115,0.24899335891465876,1099.5922769722429,1.1484738215777943,0,54.0
2018-01-09,26,55951,597,Employed,Master,4,18893,24,Single,2,Other,702,0.10603625407842446,1,2,0.47087117549136404,0,Education,0,26,5,2693,1784,28084,42289,4662.583333333333,0.7361860172258622,9,3774,0.19539299999999998,0.20835616399548648,969.30433257073,0.3584502866945856,0,57.0
2018-01-10,44,55748,564,Employed,Associate,19,21846,36,Divorced,3,Mortgage,713,0.30253985298324254,2,0,0.06410434225378385,0,Debt Consolidation,0,24,3,3024,1099,45020,14309,4645.666666666667,0.8225717643310193,2,30711,0.224846,0.22885723225743293,844.3519497620268,0.33522679552888573,0,53.0
