ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,40,137973,577,Employed,Associate,17,18702,36,Married,1,Other,452,0.3460408044479696,2,0,0.22028563390319378,0,Home,0,22,11,1479,474,52006,39337,11497.75,0.8698026652046403,10,12669,0.215202,0.20770448392675003,702.3968048953775,0.10040197472508773,1,40.0
2018-01-02,46,15000,583,Employed,High School,24,14629,36,Married,1,Mortgage,510,0.43912192399660926,1,2,0.41531276116005383,0,Home,0,30,18,3716,6044,39589,69548,1250.0,0.8914282241642257,4,10006,0.208129,0.16650320000000002,519.0214195034412,0.8232171356027529,0,59.0
2018-01-03,34,38450,520,Employed,Bachelor,9,31091,72,Single,2,Mortgage,314,0.27569937420226026,1,2,0.2714381176268098,0,Debt Consolidation,0,25,29,694,269,269965,201409,3204.1666666666665,0.64810794541252,1,68556,0.286091,0.25581168353460576,848.6254044378446,0.3628479805787812,0,51.0
2018-01-04,32,50097,627,Employed,Master,8,7551,48,Married,0,Rent,254,0.1824650716046369,2,1,0.1814007360303798,0,Debt Consolidation,0,21,18,2165,1913,71438,72708,4174.75,0.5498830010937505,3,7474,0.18905100000000002,0.2268612,240.72396380701446,0.11850385383723923,0,46.0
2018-01-05,40,87921,502,Employed,Bachelor,17,36224,12,Married,0,Rent,693,0.2553042816016853,4,2,0.3433399718539011,0,Home,0,27,7,465,2170,7395,5410,7326.75,0.7889821295552967,5,1985,0.250224,0.3002688,3531.852657420416,0.5766339314730837,0,54.0
2018-01-06,39,92978,495,Employed,High School,14,21906,48,Married,0,Own,536,0.20838254262563957,3,2,0.15570125630651266,0,Auto,0,28,28,449,2804,16699,23981,7748.166666666667,0.9703148234812607,8,3063,0.269406,0.26560731242307367,745.5386894162694,0.1653989575275359,1,39.2
2018-01-07,42,210758,619,Employed,Master,22,22477,36,Married,0,Rent,582,0.3297023281946778,4,1,0.3492074794421027,0,Education,1,13,17,7523,8924,157287,2206,17563.166666666668,0.8983252214302224,4,155081,0.19797700000000001,0.2228021493275501,861.6685896691145,0.08219864999681802,1,40.800000000000004
2018-01-08,25,52193,561,Employed,Master,5,40385,36,Married,0,Mortgage,717,0.0352241404693147,3,0,0.16275947877245975,0,Home,0,33,29,2484,346,38192,376251,4349.416666666667,0.7698922821330209,2,3324,0.244885,0.2059025416051638,1513.0246705170314,0.5127181048455611,0,49.0
2018-01-09,50,265398,637,Employed,Doctorate,29,47078,60,Single,0,Mortgage,552,0.2016976223167894,4,0,0.4325652974055854,0,Auto,0,19,8,1288,1185,31336,8243,22116.5,0.978280551193554,5,23093,0.233578,0.20258483566734675,1254.0596682547148,0.08166118817420093,1,41.6
2018-01-10,50,25751,625,Employed,Master,28,32276,60,Married,0,Mortgage,543,0.25062069901098466,3,1,0.37168018073330683,0,Auto,0,24,15,6206,1235,90109,11600,2145.9166666666665,0.943148803743739,3,78509,0.22477600000000003,0.2697312,985.0397534378129,0.7120685426295583,0,51.0
