ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,23,106779,593,Employed,Bachelor,0,15275,72,Widowed,5,Other,530,0.07686112668522689,5,3,0.42295572038526463,0,Education,0,21,5,4358,2036,157941,64319,8898.25,0.7936644325231246,3,93622,0.233775,0.2396521368391015,401.8198360241736,0.1047194488831145,1,43.2
2018-01-02,55,35491,569,Employed,High School,29,61803,36,Single,1,Mortgage,564,0.24476899015951714,4,0,0.336926155497835,0,Auto,1,22,5,9514,2636,38221,10539,2957.5833333333335,0.8114725008488654,3,27682,0.262303,0.26100773032776925,2493.4000987081913,1.033749434631267,0,63.0
2018-01-03,48,86304,557,Employed,High School,25,10311,60,Married,4,Mortgage,325,0.009670227305671094,2,1,0.3891083434867677,0,Debt Consolidation,0,24,13,4105,2252,102414,75902,7192.0,0.7276481776143543,3,26512,0.236811,0.20109025095949504,273.80431001337286,0.08325977614201513,1,41.6
2018-01-04,41,65424,488,Employed,Bachelor,22,12804,96,Married,1,Mortgage,276,0.4949106114875085,2,1,0.1505618564285974,0,Auto,0,17,5,3987,27816,31899,34144,5452.0,0.8666424443335397,1,10721,0.303804,0.2722295683405466,328.6134332843394,0.11089754829133151,0,53.0
2018-01-05,57,214517,630,Employed,Bachelor,35,17552,12,Married,4,Mortgage,453,0.34199587259994957,0,2,0.5488618022670352,0,Home,0,38,27,11368,1120,94903,15940,17876.416666666668,0.9215060239604246,6,78963,0.16755200000000003,0.17491588035983652,1604.9234028784365,0.11511945829254203,1,40.800000000000004
2018-01-06,44,47969,624,Employed,Bachelor,24,31344,60,Married,1,Mortgage,562,0.5725398490795056,8,1,0.178969649794672,0,Home,0,23,19,10586,1533,61216,2319,3997.4166666666665,0.9035668526995209,3,58897,0.224344,0.21010846882220188,848.1517710225008,0.3527657706491695,0,47.0
2018-01-07,48,66323,558,Employed,High School,24,10575,72,Single,1,Other,299,0.40078680429920505,2,1,0.1866354532742392,0,Education,0,18,13,7466,1380,8846,215,5526.916666666667,0.775417271767656,4,8631,0.246575,0.21717533489961768,263.9386340341644,0.10185401155571931,0,51.0
2018-01-08,39,16808,601,Employed,Bachelor,17,64554,36,Married,3,Own,306,0.5726628493439115,1,2,0.3379431537786305,0,Home,0,31,14,2075,688,24955,87058,1400.6666666666667,0.7092554235936431,8,8174,0.249054,0.21494861248496103,2448.5090333387984,1.9665699904846252,0,54.0
2018-01-09,32,31961,538,Employed,High School,7,23239,72,Single,0,Mortgage,644,0.4770224235338833,1,1,0.6019943365566719,0,Home,0,21,4,1681,1745,171867,1570,2663.4166666666665,0.7967261037460616,3,170297,0.269239,0.2165779987198752,579.1950749468702,0.45925787363857334,0,59.0
2018-01-10,39,71289,600,Employed,Master,16,17219,12,Divorced,2,Mortgage,810,0.4910533191905883,6,1,0.503837795378861,1,Education,0,25,22,1311,271,186470,12109,5940.75,0.9041618045614515,3,174361,0.18221900000000002,0.20946774693859213,1602.8862470317713,0.4061585232557794,0,64.0
